tokens,label
"The <e2> flat </e2> has a big <e1> balcony </e1> , a bathtub and there's also a lift if you don't want to walk up 2 flights of steps to the second floor .",Component-Whole
"The amide-linked local <e1> anesthetics </e1> , bupivacaine and ropivacaine , cause <e2> depression </e2> of cardiac contractility and dysrhythmias .",Cause-Effect
Two <e1> nuclei </e1> have migrated into the conjugation <e2> tube </e2> .,Entity-Destination
"The engine operated three strands of rope fall , hoisting from the <e1> hold </e1> of the <e2> boat </e2> three tubs of iron ore at a time .",Component-Whole
"From the transistor radio you listened to under the <e1> pillow </e1> of your <e2> bed </e2> to streamcasts on the Net , Fisher covers it all , and extremely well .",Other
The functionalist <e1> approach </e1> tries to explain the <e2> convergence </e2> of modern welfare states .,Other
The ground has eroded away around the <e1> roots </e1> of this young pine <e2> tree </e2> .,Component-Whole
It was a beautiful example of community forming - a <e2> circle </e2> of kindred <e1> souls </e1> who shared a vision and a dream .,Member-Collection
"Aware of the <e2> suffering </e2> caused by unmindful <e1> drinking </e1> , I am committed to cultivate good health , both physical and mental , for myself , my family , and my society .",Cause-Effect
She clicked on the <e2> book </e2> <e1> title </e1> to see a couple of illustrations from the book .,Component-Whole
"This <e1> configuration </e1> of <e2> dominoes </e2> is called the layout , string , or line of play .",Other
A <e2> man </e2> in a boat pushes the shore with a <e1> pole </e1> and his boat gets clear of the shore .,Instrument-Agency
Often times I have watched a <e2> scold </e2> of blue <e1> jays </e1> band together to battle the crows .,Member-Collection
Ten <e1> applications </e1> are automatically entered into a monthly <e2> prize draw </e2> .,Entity-Destination
"George Clooney , Ewan McGregor , Kevin Spacey and Jeff Bridges are in top form in this uproarious tale about a top-secret <e2> brigade </e2> of psychic <e1> soldiers </e1> trained in New Age warfare .",Member-Collection
The <e1> viruses </e1> were sent to unsuspecting <e2> labs </e2> .,Entity-Destination
"The <e1> journal </e1> was inside a <e2> box </e2> of items given to him and his wife by his stepfather , after his mother's passing , which they never sorted through but kept stored in a garage .",Content-Container
The <e1> tie </e1> is going away from men's <e2> wardrobes </e2> .,Entity-Origin
After the <e1> swing </e1> went away from the <e2> wicket </e2> he couldn't do anything .,Entity-Origin
"Years later , and here I am , thirteen years old , the <e2> child </e2> with her <e1> nose </e1> pressed up against the window waving goodbye .",Component-Whole
"Milinkovich , executive director for life of the Eclipse Foundation (just kidding Mike) broke the <e1> news </e1> today in his <e2> blog </e2> .",Other
77793 <e1> civilians </e1> have arrived into the government controlled <e2> areas </e2> within the last two days .,Entity-Destination
"On my trip , I brought with me a <e2> suitcase </e2> full of <e1> school supplies </e1> .",Content-Container
"Surprisingly soon , a <e1> culprit </e1> popped out of the <e2> data </e2> .",Entity-Origin
"American warships , which , in addition to opening Japan's borders with their show of military supremacy , brought along a <e2> troupe </e2> of blackface <e1> minstrels </e1> as entertainment .",Member-Collection
"The reddish purple bracts of the flower roll back and split to expose a <e2> hand </e2> of <e1> bananas </e1> , usually at the rate of one per day .",Member-Collection
Annie Mae Young is looking at a <e1> photograph </e1> of a <e2> quilt </e2> she pieced together out of strips torn from well-worn cotton shirts and polyester pants .,Message-Topic
Oak root and chamomile provide a gentle astringent that helps reduce inflammation and calms skin <e2> irritation </e2> from the <e1> sun </e1> and environmental pollutants .,Cause-Effect
Skype <e1> founders </e1> have moved into a net <e2> TV </e2> .,Entity-Destination
"But what is not seen in the television pictures , is the almost invisible army of 7000 migrant <e2> workers </e2> who built the iconic <e1> structure </e1> .",Product-Producer
The older <e1> people </e1> have been moving into new <e2> homes </e2> .,Entity-Destination
The <e2> colitis </e2> usually is caused by taking <e1> antibiotics </e1> .,Cause-Effect
"Comprehensive <e1> notes </e1> survey the current <e2> state </e2> of the law , raise questions for class discussion , and address the continuing controversies in this field .",Message-Topic
50 <e1> cents </e1> from every book sold are invested into sustainability <e2> initiatives </e2> .,Entity-Destination
"The panelists bring knowledge and experience to a <e1> debate </e1> focusing on <e2> mergers </e2> , acquisitions and joint ventures within the world's largest industry .",Message-Topic
"The <e1> figurine </e1> was inside a <e2> chocolate egg </e2> eaten by ten-year-old Dixie , a Dalmatian collie living in Aberdeen .",Content-Container
This lowly structure is preserved and protected from decay by having built over it an outer <e1> structure </e1> surmounted by a great <e2> dome </e2> of glass .,Other
Out current Secretary is gathering <e1> information </e1> from past <e2> presidents </e2> and committee chairs .,Entity-Origin
"It is <e1> stardust </e1> that remains from previous <e2> cycles </e2> of evolution , cycles without a beginning or end .",Entity-Origin
The <e1> protein molecule </e1> has come into <e2> existence </e2> by natural processes .,Other
Starting a <e1> food </e1> and beverage <e2> company </e2> from scratch requires a lot of planning and research .,Product-Producer
"Methamphetamine residue and a broken pipe used for consuming it were retrieved from a toilet , along with $7800 in <e1> cash </e1> that was hidden in a <e2> towel </e2> .",Content-Container
"The <e2> puppet </e2> , who rose to fame through a children's TV show called The Den , has recorded a string of hit <e1> records </e1> , including Dustin Unplucked .",Product-Producer
"The halting of easy <e2> profits </e2> from <e1> inflation </e1> brought on a banking crisis , which resulted in a complete restructuring of the industry during the late 1990s .",Cause-Effect
"Then they came near , and spake before the king concerning the <e2> king's </e2> <e1> decree </e1> .",Product-Producer
"Overall , the <e2> fire </e2> after the <e1> earthquake </e1> burned out 7456 houses in over 530 localities .",Cause-Effect
"The <e1> hero </e1> initially attempts to stop the train with his own <e2> strength </e2> , but fails miserably and doesn't slow the train down .",Other
The injured <e1> worker </e1> fell from an elevated work <e2> surface </e2> or was struck by an object falling from an elevated work surface .,Entity-Origin
The <e2> scientist's </e2> <e1> theories </e1> about the mutants being extinct were proven false when Hades and his surviving clan members stalked and brutally killed Wilson .,Product-Producer
The remaining <e2> settlers </e2> dug a 10 miles (16 km) <e1> ditch </e1> from the Sevier's east fork into Tropic Valley .,Product-Producer
The <e1> commandos </e1> were dropped into a French nuclear <e2> plant </e2> .,Entity-Destination
"Film Exhibition in North America , wrapped this past weekend , and Paste was there to sample the latest <e1> wares </e1> from the world's <e2> filmmakers </e2> .",Product-Producer
"Students write a <e1> paragraph </e1> stating <e2> reasons </e2> for doing something , and then a paragraph about how to do something .",Message-Topic
We have a <e2> congress </e2> of different <e1> nations </e1> and congress within nations and some sports congress .,Member-Collection
The <e2> subjects </e2> adjusted the signal level with a shop-built <e1> attenuator </e1> .,Instrument-Agency
"Remaining under the same influence , it was in the natural <e1> order </e1> of <e2> events </e2> that John , a little later , recorded his awakening into the new life at a religious meeting at a quarter before nine o'clock on the evening of May 24th 1738 .",Other
In this animation the incident <e1> wave </e1> is travelling from a high density <e2> region </e2> towards a low density (high wave speed) region .,Entity-Origin
The northwest <e2> swell </e2> was generated by a powerful <e1> storm </e1> off Japan on Jan . 5 and gained strength last week .,Cause-Effect
"Having built a makeshift <e1> slingshot </e1> , the <e2> hero </e2> apparently flies through the ceiling of his shabby room and vanishes into space .",Product-Producer
A customer shopping at a Walmart in Falmouth found 10 human <e1> teeth </e1> in a <e2> wallet </e2> he was about to purchase .,Content-Container
The <e2> procession </e2> formed the subject of the <e1> bas-reliefs </e1> which embellished the outside of the temple of the Parthenon .,Message-Topic
"In the same way that diet and <e1> stress </e1> effect facial <e2> acne </e2> they also effect body acne therefore the basic clear skin rules of cutting out greasy , fatty foods , and sugary foods as well as trying to reduce everyday stress apply to body acne as well .",Cause-Effect
"When I got up there , a <e1> woman </e1> popped out of an <e2> office </e2> and introduced herself as the PM's secretary .",Entity-Origin
"A western regiment was behind it , a <e2> regiment </e2> of <e1> hunters </e1> and marksmen .",Member-Collection
"The museum's first <e2> director </e2> , who oversaw the museum for 50 years , converted the building into an art <e1> studio </e1> .",Product-Producer
The <e1> man </e1> fell into a <e2> pit </e2> .,Entity-Destination
The <e1> accounts </e1> have been prepared on a historical cost <e2> basis </e2> .,Message-Topic
A young <e1> couple </e1> travelled into the Australian <e2> outback </e2> .,Entity-Destination
The Discworld <e1> novels </e1> contain common <e2> themes </e2> and motifs that run through the series .,Message-Topic
"This latest <e1> adventure </e1> from the animation <e2> wizards </e2> at Pixar is beautiful , masterly , inspired - and delivers a powerful ecological message .",Other
<e1> Hairdressing </e1> with <e2> color </e2> has become a common trend these days .,Other
The height-time profiles revealed that the <e1> downflow </e1> started at <e2> times </e2> of the deceleration phase of the CME core .,Other
"The <e1> rod </e1> of the <e2> piston </e2> , which is connected to the nose steering spindle , causes it to pivot at point X .",Component-Whole
The purpose of this paper is to present an on-going research that constructs a live <e1> thesaurus </e1> directly from search term <e2> logs </e2> of real-world search engines .,Entity-Origin
The <e1> bike </e1> was in a <e2> crate </e2> on the back of a truck .,Content-Container
The <e1> information </e1> presented here comes from a series of seasonal telephone <e2> surveys </e2> .,Entity-Origin
The <e2> pack </e2> contained a <e1> CD </e1> which held a range of resource information sheets and some presentations that could be integrated into your training packages .,Content-Container
A <e1> space shuttle </e1> travels into <e2> space </e2> .,Entity-Destination
The EU sent <e1> peacekeepers </e1> to the Middle Eastern <e2> region </e2> .,Entity-Destination
The <e1> team </e1> won the Association's championship with some <e2> regularity </e2> .,Other
The <e2> exhibition </e2> comprises more than sixty <e1> works </e1> of art from international public and private collections .,Component-Whole
"The strawberry-maker <e2> enzyme </e2> , found in the roots of the plant , builds <e1> strawberries </e1> after being catalyzed by the digestive fluid of an earthworm .",Product-Producer
Microorganisms in your oral flora gain access to the pulp chamber and <e1> root canals </e1> in the affected <e2> tooth </e2> .,Component-Whole
I was thrilled to see this delicious Pennsylvania 7 .5% <e1> amber </e1> in a <e2> firkin </e2> down there .,Content-Container
All the <e1> birds </e1> have flown into the <e2> subway </e2> for the snowstorm .,Entity-Destination
A <e2> galaxy </e2> of legendary <e1> figures </e1> from the annals of Western history comes to life in this stirring sequel to Intellectuals and Creators .,Member-Collection
"The quilting tradition in Gee's Bend goes back to the 1800s , when <e2> slaves </e2> fashioned <e1> bedcovers </e1> out of strips of cloth .",Product-Producer
The <e1> wire </e1> had caused a slight <e2> injury </e2> on the ventral side of the neck and at the base of horns .,Cause-Effect
"Sir John Mortimer , the <e2> barrister-cum-writer </e2> who created the Old Bailey's most famous fictional <e1> defender </e1> , has died at the age of 85 .",Product-Producer
"The resulting <e1> deliverables </e1> provide richer , more detailed , and more helpful <e2> information </e2> for your clients .",Message-Topic
"Today's story of patent insanity comes to us courtesy of Wysong , a small natural pet foods <e2> company </e2> that came up with a <e1> method </e1> to put probiotics in foods in the early 80s .",Product-Producer
The industrial chemical <e1> melamine </e1> was found in a <e2> sample </e2> of infant formula made in the USA .,Other
"Who buys all these glittering <e1> diamond </e1> <e2> colliers </e2> , rings , pendants , etc . , eto . , is . a mystery .",Other
"Better&Partners Communications is an advertising <e1> agency </e1> specialized in TV <e2> ads </e2> , outdoors , media , marketing , consulting , press , etc . . .",Other
"The spread is mainly airborne , via the virus-laden <e1> droplets </e1> produced by coughing and <e2> sneezing </e2> .",Other
Special articles specifically on gas corrosion and <e1> stress </e1> <e2> corrosion </e2> are also available in the literature .,Cause-Effect
The <e2> central nervous system </e2> comprises the <e1> brain </e1> and the spinal chord .,Component-Whole
Recent traffic studies by the department show that a majority of the <e2> accidents </e2> are caused by <e1> drivers </e1> .,Cause-Effect
"In the past couple of days , a small <e2> army </e2> of <e1> bloggers </e1> and journalists have indicated that they're heading for SES Chicago .",Member-Collection
Chest <e2> pain </e2> from <e1> indigestion </e1> feels like an intense burning and is usually accompanied by regurgitation and gas .,Cause-Effect
New <e1> skate shoes </e1> have arrived into the <e2> store </e2> .,Entity-Destination
U .S . Customs and Border Protection officers stopped a drug-smuggling attempt when they seized a <e2> suitcase </e2> full of <e1> marijuana </e1> .,Content-Container
"This <e1> course </e1> is part of the master of veterinary public health (MVPH) <e2> programme </e2> at Faculty of Life Sciences , University of Copenhagen , Denmark .",Component-Whole
The best online advices come from the <e1> websites </e1> that are specialized in <e2> college </e2> and NBA leagues .,Message-Topic
He has been draining the <e1> wetlands </e1> into Federally owned <e2> ditches </e2> .,Entity-Destination
"This time , however , another bird joined the <e2> eyrar </e2> of black <e1> swans </e1> , as Dubai-owned subsidiary Dubai World . Oliver Russ . Argonaut Capital Partners .",Member-Collection
<e1> Presentations </e1> and outputs of the conference have been provided in the conference <e2> proceedings </e2> .,Component-Whole
"A traffic stop for speeding Tuesday afternoon in Troup County led to the seizure of more than $540 ,000 in <e1> currency </e1> that was hidden in <e2> buckets </e2> of roofing tar .",Content-Container
They set the <e1> timer </e1> on the <e2> cooker </e2> for three minutes .,Component-Whole
"It was intermittently wet and dry , and almost always followed with a whine and often a few <e2> tears </e2> from the terrible <e1> pain </e1> .",Cause-Effect
"The mite's <e1> burrows </e1> , fecal matter , proteins and eggs cause itching , <e2> rashes </e2> and sensitivity .",Cause-Effect
"Marcus stabs one of the attackers with a screwdriver and we see the impact , as well as the <e2> victim </e2> painfully removing the <e1> screwdriver </e1> .",Entity-Origin
It also uses the <e1> intranet </e1> to inform staff about <e2> training opportunities </e2> or forthcoming staff events .,Other
Externally derived <e1> data </e1> were leaked into the <e2> system </e2> .,Entity-Destination
A <e1> question </e1> was raised in relation to the partnership <e2> arrangements </e2> in Germany .,Message-Topic
"For a beginner , the layout of piano keys is hard to recognize on a <e2> piano </e2> <e1> keyboard </e1> .",Component-Whole
The kiosk was placed at a statewide <e1> convention </e1> of science <e2> teachers </e2> and in a high school science classroom .,Other
"Thus previous scientific estimates had overstated the <e2> devastation </e2> caused by the <e1> asteroid </e1> , since topographic and ecologic factors contributing to the result had not been taken into account .",Cause-Effect
The <e1> pieces </e1> are falling into <e2> place </e2> .,Entity-Destination
A <e1> preamble </e1> explains the document's <e2> purpose </e2> and underlying philosophy .,Message-Topic
The analysis <e1> device </e1> instigates the <e2> termination </e2> of the connection .,Cause-Effect
They took her address and two years later a <e1> letter </e1> arrived from an <e2> agent </e2> asking if she'd like a part in a big motion picture .,Entity-Origin
The local industry was virtually demolished that year as other <e1> agencies </e1> bailed out of a <e2> country </e2> whose business practices were becoming increasingly corrupt and dangerous for foreign executives .,Entity-Origin
Kids built forts and tree <e1> houses </e1> in the <e2> woods </e2> out of materials swiped from the construction sites that would eventually render those woods someone's back yard .,Other
The marketing strategy and <e1> advertising campaign </e1> of the company's <e2> products </e2> are dedicated to bringing back the old traditional glamorous image .,Message-Topic
Either we saw our mothers show <e2> fear </e2> from <e1> bugs </e1> /spiders/cockroaches and learned to fear them irrationally .,Cause-Effect
The <e1> point </e1> of the <e2> pen </e2> is in good writing position if the tip is anywhere from A to B .,Component-Whole
This <e1> plane </e1> taxied back from <e2> runway </e2> 22R to business apron after aborted takeoff .,Entity-Origin
A <e1> woman </e1> was recovering from a bullet <e2> wound </e2> after she was caught in the cross-fire of a shootout .,Other
"After birth , which usually takes place in shallow waters , the <e2> mother </e2> suckles her <e1> young </e1> for up to 18 months .",Product-Producer
<e2> Apricot </e2> <e1> marmalade </e1> is effective in treating emotional indigestion .,Entity-Origin
<e2> Plants </e2> obtain a significant reduction in water usage and costs by effectively using conductivity <e1> analysis </e1> .,Instrument-Agency
"I was digging up the <e1> earth </e1> to throw into the <e2> cradle </e2> , when I turned up a lump of ore about the size of a small walnut , which I knew at once was a piece of gold .",Other
So Mary found a pocketknife in the compartment and a straw from her <e1> soda </e1> <e2> drink </e2> now spilled everywhere .,Other
These four superb performers - and at the end it's almost impossible to believe there have been so few of them - present a wordless show that is like a <e1> circus </e1> of human <e2> dreams </e2> and nightmares .,Other
The breakthrough came after the <e1> news </e1> that a <e2> sheep </e2> named Dolly was born as the first cloned mammal .,Message-Topic
It is an occasional <e1> publication </e1> reporting recent <e2> events </e2> and activities taking place at the Institute for Agriculture and Trade Policy .,Message-Topic
The <e1> luff </e1> is the leading edge of a <e2> sail </e2> .,Component-Whole
Blood looks very red on the colour <e2> television </e2> <e1> screen </e1> .,Component-Whole
Nielsen released his <e1> insights </e1> into the online <e2> industry </e2> .,Entity-Destination
"It's common to get a slight <e2> fever </e2> from <e1> immunizations </e1> , which can make them uncomfortable .",Cause-Effect
They are intentionally sewn larger than the pillow to accommodate for <e2> shrinkage </e2> from <e1> washing </e1> .,Cause-Effect
The first workers' <e1> committee </e1> was formed in Yamit <e2> factory </e2> .,Entity-Origin
My grandfather's backyard is an absolute <e2> jungle </e2> of old wrecked <e1> cars </e1> .,Member-Collection
"The 50g is hands-down , the absolute best <e1> calculator </e1> for <e2> engineers </e2> , surveyors , and hackers .",Instrument-Agency
They planned a meeting where they discussed about this <e1> idea </e1> regarding the <e2> football team </e2> .,Message-Topic
"Neighbours and some parents saw the limbs and head were missing from the body , and its <e1> torso </e1> was in a <e2> suitcase </e2> .",Content-Container
A <e1> trawl </e1> through ancient copies of the Herts Advertiser threw up a treasure <e2> trove </e2> of information about the early days of the city's first ever cinema .,Other
This unwillingness to fund on a secured basis placed stress on the <e1> liquidity </e1> of the <e2> firm </e2> .,Other
"The small <e1> wheel </e1> of the button <e2> panel </e2> is limited to the range of a button , so you don't have to worry that you turn into another function .",Component-Whole
The <e1> exhibition </e1> considers tea's mythic <e2> origins </e2> in the hills of southern China .,Message-Topic
Heavy <e1> thunderstorms </e1> caused <e2> cancellation </e2> of races later in the afternoon preventing the Masters Mens fours and Masters Womens and Womens eights from racing .,Cause-Effect
"But Pradyumna did not die , even when he was digested in the <e1> belly </e1> of the <e2> fish </e2> .",Component-Whole
She sold a <e1> gold </e1> <e2> ring </e2> she received as a gift from her company and her old '80s style chains .,Other
"In fact , in the concerto form , the <e2> soloist </e2> often composed and performed a <e1> cadenza </e1> as a way to express their individual interpretation of the piece .",Product-Producer
"Actually , the earthquake is largely from a global company that had interests insured in China , whereas the <e1> snowstorm </e1> <e2> losses </e2> are exclusively from a variety of Chinese companies that we had relationships with for some year .",Cause-Effect
The US <e1> troops </e1> are going into a mountain <e2> area </e2> in Pakistan .,Entity-Destination
<e2> Scientists </e2> have made batteries and <e1> supercapacitors </e1> with little more than ordinary office paper and some carbon and silver nanomaterials .,Product-Producer
The <e1> bomb </e1> was contained in a large white <e2> truck </e2> and consisted of a fertilizer device wrapped with a detonation cord made from Semtex .,Content-Container
The three types of bone <e1> cells </e1> in the nasal <e2> turbinates </e2> had characteristic ultrastructural features .,Component-Whole
The o-dichlorobenzene <e1> extractant </e1> was removed into <e2> chlorobenzene </e2> for the first step of rough separation .,Entity-Destination
The tumorous <e1> tissue </e1> was sealed in Pyrex <e2> glass tubes </e2> with a gas-oxygen flame and frozen by the procedure described previously .,Entity-Destination
The porter passed on the <e1> licence </e1> to the <e2> wife </e2> and the daughter .,Entity-Destination
The <e1> pollution </e1> is being spread to <e2> air </e2> rapidly .,Entity-Destination
None of the <e1> answers </e1> just popped out of the <e2> computer </e2> .,Entity-Origin
"Pierre Cardo , a <e1> deputy </e1> from Chirac's <e2> party </e2> , explained that the most rebellious of delinquents are often products of polygamous families .",Member-Collection
"The <e2> car </e2> already has a digital <e1> speedometer </e1> which tracks speed at , yes , precision of 1 kilometer - not 1 .3 , 1 .6 , but exactly 1 km .",Component-Whole
The <e2> reporters </e2> on this project have constructed one of the most comprehensive <e1> explanations </e1> of how the price of this vital infrastructure has spiraled out of control .,Product-Producer
By avoiding or limiting contact with trash the chance of contracting <e1> germs </e1> that lead to <e2> sickness </e2> or disease is decreased .,Cause-Effect
"Each <e1> member </e1> takes part in the activity of the whole <e2> organisation </e2> in the same way as the Organisation is responsible for the revolutionary and political activity of each of its members , since they do not act in the political domain without consulting the organisation .",Member-Collection
The <e1> dialect </e1> spoken in the South Karelian Region of Finland is part of the South Eastern dialects of the Finnish <e2> language </e2> .,Other
<e1> Climate change </e1> is the topic of the <e2> day </e2> .,Other
The Rabbit wine <e2> opener </e2> even automatically releases the cork from the <e1> spiral </e1> .,Component-Whole
"A popular kitchen protection is a <e2> rope </e2> of <e1> garlic </e1> , onions or peppers .",Component-Whole
His promised bride was already in great <e1> peril </e1> from the twisted love of an insane <e2> suitor </e2> .,Other
"In the years since the ADM scandal of the 1990s , the <e2> calamities </e2> caused by the <e1> subversion </e1> of the food resources of masses of people to the private profit interests of a few has reached new heights .",Cause-Effect
Worker <e1> bees </e1> eating ordinary <e2> honey </e2> live only four to six weeks .,Other
"The living <e1> vaccine </e1> , caused a sharp <e2> temperature elevation </e2> on the day following the second injection .",Cause-Effect
"Instead , I ran at them , whirling my arms and screeching as loud as a <e2> sedge </e2> of <e1> bitterns </e1> .",Member-Collection
"Once more he is facing off against the malicious Cobra , who has released a <e2> division </e2> of irresistible <e1> infantrymen </e1> with fierce battle talents .",Member-Collection
"The executive <e2> committee </e2> is composed of the <e1> president </e1> , vice presidents from the 10 largest affiliates , and nine other vice presidents chosen in consultation .",Member-Collection
The Philippines' aboriginal <e1> inhabitants </e1> arrived from the Asian <e2> mainland </e2> around 25000 BC .,Entity-Origin
An <e1> explosive </e1> was hidden in a <e2> condom </e2> or condom-like bag just below his torso .,Content-Container
"In a person who already has some neck <e2> tension </e2> from <e1> stress </e1> , such an event can lead to a long-term increase of neck tension .",Cause-Effect
The spices took <e1> pasta </e1> into Moroccan <e2> territory </e2> .,Entity-Destination
The first order of business when a patient complains of palpitations is to check whether the <e2> palpitations </e2> are caused by a <e1> heart rhythm </e1> .,Cause-Effect
The <e1> book </e1> was misplaced into the wrong <e2> shelf </e2> .,Entity-Destination
The <e1> bridge </e1> was moved from its original <e2> location </e2> in an effort to save it .,Entity-Origin
We report the second case of ureteropelvic junction <e1> obstruction </e1> after radiofrequency <e2> ablation </e2> that resulted in nephrectomy .,Other
"The <e2> miscarriages </e2> are caused by one time , non-repeating <e1> genetic problems </e1> .",Cause-Effect
"It found the net aggregate economic benefit to native-born Americans from the enormous <e2> influx </e2> accidentally triggered by the 1965 <e1> immigration </e1> is nugatory-less than $10 billion a year , in an economy of $10 trillion .",Cause-Effect
OSHA regulates that a <e1> forklift </e1> <e2> operator's </e2> training program have three parts .,Instrument-Agency
The <e2> backpack </e2> contained a <e1> social security number </e1> and other miscellaneous items .,Content-Container
"Standing squarely in the way of progressive plans to fortify Marseilles , that magic <e2> grove </e2> of dodonian <e1> oaks </e1> , holly oaks and alder just had to go .",Member-Collection
"The <e1> joey </e1> leaves the <e2> pouch </e2> for short periods in about nine months of age , but continues to be suckled until it is about 18 months of age .",Entity-Origin
<e2> Engineers </e2> use <e1> computers </e1> to solve a variety of problems ranging from the evaluation of a simple function to solving a system of nonlinear equations .,Instrument-Agency
Someone leaked the secret <e1> document </e1> to a <e2> journalist </e2> .,Entity-Destination
"The <e1> list </e1> was distilled from <e2> conversations </e2> and presentations at IBM's EMEA analyst conference , Analyst Insights 07 .",Entity-Origin
We did an integration of the git-based release <e1> workflow </e1> into the <e2> distribution </e2> .,Entity-Destination
The <e1> mice </e1> fell into the <e2> trap </e2> .,Entity-Destination
"This is the basic household return , filled in and signed by the <e1> head </e1> of the <e2> household </e2> .",Member-Collection
Two other <e1> teens </e1> ran into <e2> snags </e2> .,Entity-Destination
"Deeply chauvinistic , the <e1> movement </e1> is rooted in an atavistic <e2> sense </e2> of Indian identity that harks back to a mystical time .",Entity-Origin
The <e1> lighting </e1> in the <e2> shop </e2> was dim and the walls were covered with shelves which were covered with shoes .,Other
"Just then a camel <e2> caravan </e2> of Ishmaelite <e1> merchants </e1> came passing by , on their way to trade in Egypt .",Member-Collection
These <e1> services </e1> are migrated into the <e2> call </e2> since they require booking facilities .,Entity-Destination
Our <e2> microwave </e2> has a <e1> button </e1> for popcorn .,Component-Whole
A small <e2> charm </e2> of seven <e1> goldfinches </e1> bounced in front of the bus .,Member-Collection
The <e1> book </e1> was in a <e2> trunk </e2> full of documents handed over to the archive .,Content-Container
The <e1> legs </e1> of the <e2> chairs </e2> were designed differently and they were continuously upgraded with new styles and designs .,Component-Whole
This statement threw <e1> people </e1> into <e2> chaos </e2> .,Other
The overseas department collaborates with the law <e1> department </e1> of the <e2> company </e2> to resolve any legal matters in the field of international trade .,Component-Whole
"The concert closes with the young <e1> composer's </e1> take on another <e2> aria </e2> from Guilio Cesare , the notoriously tricky Al lampo dell'armi .",Other
The <e2> spotter </e2> sweeps the surrounding countryside with a powerful hand-held <e1> lamp </e1> with a tightly focused beam .,Instrument-Agency
The clinical trials have implanted <e1> cells </e1> into the <e2> patient </e2> .,Entity-Destination
"We had a flour bin , I poured <e1> flour </e1> into the <e2> well </e2> , and I stirred it with the bucket .",Entity-Destination
McGee's <e2> talent </e2> stemmed from mother's <e1> teaching </e1> .,Cause-Effect
"I make this all the time and replicated a similar <e1> recipe </e1> from a wonderful wonderful <e2> restaurant </e2> in Paducah , KY .",Entity-Origin
Harbor Beach man pleads in <e2> case </e2> that stemmed from dog <e1> attack </e1> on tot .,Cause-Effect
<e1> Antibodies </e1> introduced into living <e2> cells </e2> by red cell ghosts are functionally stable in the cytoplasm of the cells .,Entity-Destination
Many people gamble away their rent and grocery money just to take a chance on a <e2> leash </e2> of <e1> greyhounds </e1> chasing a mechanical rabbit .,Member-Collection
"Ibsen's <e1> work </e1> examined the <e2> realities </e2> that lay behind many facades , possessing a revelatory nature that was disquieting to many contemporaries .",Message-Topic
This morning while shoveling snow a commotion caused me to look up and see that a small <e2> pandemonium </e2> of <e1> monk parrots </e1> had chased away all the cardinals from our bird feeder .,Member-Collection
NASA paid a private company which carried <e1> astronauts </e1> into <e2> orbit </e2> .,Entity-Destination
"The <e2> band </e2> first reached the charts with the <e1> song </e1> Touch My Light in the late spring of 1993 , receiving major airplay on mainstream radio stations .",Product-Producer
The younger <e1> female </e1> got out rather easily from the <e2> cuffs </e2> and massaged her wrists .,Other
The animal control released a wild <e1> leopard </e1> into the <e2> wild </e2> .,Entity-Destination
<e1> Sinusitis </e1> and tinnitus cause stress or <e2> anxiety </e2> .,Cause-Effect
La Nicchia's <e2> lemon </e2> <e1> marmalade </e1> is a sublime addition to any vinaigrette or fish marinade .,Entity-Origin
They have poured <e1> millions </e1> into these <e2> projects </e2> .,Entity-Destination
The hand-cranked <e1> churn </e1> produced smoother <e2> ice cream </e2> than the pot freezer and did it quicker .,Other
"As part of their class , titled Sustainable Building Design , the students analyze the <e1> components </e1> of the <e2> building </e2> that play a role in the structure's environmental impact , such as insulation , water usage and drainage , and the heating , ventilation and air conditioning (HVAC) system .",Component-Whole
British <e2> scientists </e2> have created human <e1> sperm </e1> using stem cells in a medical first that could revolutionise fertility treatment .,Product-Producer
It is the way of <e1> deliverance </e1> from vicious <e2> cycles </e2> of anger and insult .,Other
"Lake St . Lucia , Africa's largest estuary , is home to the greatest <e2> congregation </e2> of <e1> hippos </e1> and crocodiles in South Africa .",Member-Collection
"The cool <e1> fog </e1> of the summer morning had inundated the fabric of the blimp's coverings with excess <e2> moisture </e2> , adding additional weight to the aircraft .",Cause-Effect
The movie represents the only film <e1> soundtrack </e1> by the seminal Los Angeles punk rock <e2> band </e2> .,Product-Producer
The <e1> kids </e1> dug into the Baked Ziti with <e2> gusto </e2> .,Other
"The <e1> campaign </e1> is part of the European e-Inclusion <e2> initiative </e2> , which seeks to build on all existing e-Inclusion activities and identify synergies between them and improvements in overall e-Inclusion impact .",Component-Whole
The <e2> perturbations </e2> caused by the substorm related field-aligned <e1> currents </e1> are most notable in the east-west deflections of the geosynchronous magnetic field .,Cause-Effect
After 1890 the <e1> house </e1> was moved from its original <e2> location </e2> to the complex of outbuildings next to the present Ross home .,Entity-Origin
"In the process , they initiated the establishment of the tirailleurs senegalais , the first <e2> battalion </e2> of Senegalese <e1> infantrymen </e1> in 1857 .",Member-Collection
"In both course offerings , all except one student completed the <e1> questionnaire </e1> designed by the university <e2> coordinators </e2> .",Product-Producer
The program featured <e1> clips </e1> from 1950's <e2> television </e2> and interviews with game show stars .,Entity-Origin
GolTV's unique offering positions it in the highly competitive US media market as the only TV <e1> channel </e1> devoted exclusively to <e2> soccer </e2> .,Message-Topic
